Timestamp,mobile-15,mobile-13,mobile-14,mobile-9,mobile-39,mobile-37,mobile-21,mobile-43,mobile-10,mobile-22,mobile-32,mobile-44,mobile-34,mobile-49,mobile-46,mobile-23,mobile-45,mobile-8,mobile-31,mobile-36,mobile-7,mobile-12,mobile-5,mobile-11,mobile-42,static-15,static-13
2020-04-08 18:00:00,,,,,,,,963.9474554706419,,27.16745715390031,,,,,,,,,,,,,,,,22.831999999999997,21.186
2020-04-08 20:00:00,,,,,,,,691.2482929684196,,33.322336754315636,,,,,,,,,,,,,,,,51.018,21.653000000000002
2020-04-08 22:00:00,,,,,,,,24.78070218657177,29.12326488000525,685.3687139261345,,,,,,,,,,,,,,,,489.81699999999995,23.546
2020-04-09 00:00:00,,,,,853.1958732088533,,,1012.2816548256827,261.88145996497656,29.93430796635269,,,,,,,,,,,,,,,,22.607,
2020-04-09 02:00:00,,,,,23.92612933603964,,,26.068793436962146,33.529289458771146,33.00164718483799,,,,,,,,,,,,,,,,662.564,
2020-04-09 04:00:00,,,,,246.5983439160257,,,27.025890782739733,674.5562428415409,29.70510705518856,,,,,,,,,,,,,,,,721.347,
2020-04-09 06:00:00,25.706298115592613,21.538626961470065,19.194439061019875,22.795925663899627,22.587543034760685,,26.29047747801795,684.4668975415907,33.153246856873935,646.1112363889233,,,,,,,50.10199770772339,,355.10077446336504,,53.376676868889206,,,,,191.315,
2020-04-09 08:00:00,,,,,,25.05442836021133,,30.671329596618506,726.8876196474022,31.90806518267488,,,,,93.02301811692585,,,,97.10473249649333,,786.3188110954808,,,61.10756908147923,,24.772,
2020-04-09 10:00:00,,,,,,,,28.855435499849037,,719.2691045751068,,,,,844.0153370036717,,,,1077.9708242932643,48.25337737049596,876.3352277223119,,,,,25.285,
2020-04-09 12:00:00,,,,,,,,191.20723848430262,,35.552476854379066,,,,33.17464989563265,160.02902197907247,,,51.916530254168514,238.5426258763163,,790.875255098609,,,,,617.596,
2020-04-09 14:00:00,,,,,,,,785.4466353424451,,37.65846693326456,,,,34.227087549290204,98.79023127577845,,,,1170.1856368500196,,1166.8051004479107,,,,,496.291,
2020-04-09 16:00:00,,,,,,,,837.3717760201988,,713.9343231468441,,,,,95.60716622918169,,,,462.63597367776777,,46.71215849255038,,,,,584.606,
2020-04-09 18:00:00,,22.630636153921753,,,,,,736.9496550391731,,41.42804591677215,,,,,241.60792788217944,,58.24417398113484,,,,,,,,,30.809,
2020-04-09 20:00:00,,,25.757874748205676,,23.735656097034173,16.703695409183112,26.38945585198472,864.8658256282837,,557.5862272281138,,,,,668.5742149498125,,56.579288844377565,,,,,,,54.1699353942075,,467.94599999999997,
2020-04-09 22:00:00,,,,,,,,382.5701233164296,,552.7023983113057,,,,,,,,,,,,,,,,433.392,
2020-04-10 00:00:00,,,,,,,,34.83947378121678,,40.50493634390936,,,,,,,,,,,,,,,,454.608,
2020-04-10 02:00:00,,,,,,,,35.257233026500224,,45.46389991026125,,,,,,,,,,,,,,,,761.321,
2020-04-10 04:00:00,,,,,,,,464.31192930454534,,448.31360837131416,,,,,,,,,,,,,,,,28.802,
2020-04-10 06:00:00,,24.545794559083923,23.117874210665413,,,,29.045723586546604,966.4610295185788,,569.7233565467949,,,,,765.568126955532,,,62.054113040264646,143.00210620146822,,311.4811680568514,,,,,631.4830000000001,
2020-04-10 08:00:00,,,,,24.81993482088191,23.991707724790587,,881.2755641323289,,45.11851415028117,,,,,734.8875139709853,,51.579560699903816,,353.13954683296265,,393.0870884723354,,,53.09854809168253,,641.433,
2020-04-10 10:00:00,,,,,,,,670.93122206993,,41.14802770367463,,,,,102.5535233600082,,,,66.49481333742881,,537.0697604919578,,,,,681.4960000000001,
2020-04-10 12:00:00,,,,,,,,733.4474348072686,,490.61700322278193,,,,,216.8630382768853,,,,825.8770014313028,50.58542904216504,56.164466139854014,,,,,717.687,
2020-04-10 14:00:00,,,,,,,,407.40484472485514,,723.099956504618,,,,,661.6927050244196,,,,517.5936102953885,,538.0604231726386,,,,,778.6360000000001,
2020-04-10 16:00:00,,,,,,,,40.28179570882871,,690.0162953302654,,,,,657.8936476179973,,,,627.9069465773616,,59.972516173141116,56.12271726205754,,,,713.1439999999999,
2020-04-10 18:00:00,,,,,,,31.891945890854288,556.8319307523084,,658.3319114792419,,,,,355.07970223136977,,,,,,,,,57.47791398617372,,32.601,
2020-04-10 20:00:00,35.799479873026755,27.007746621945795,29.462541577765737,22.82688892704584,23.446036533486428,24.984457665502504,,288.06633671214024,363.3688100027498,622.3791284762408,,,,,382.87891964661713,,68.88480328365975,,,,,,,57.851784265417,,206.643,689.953
2020-04-10 22:00:00,,,,38.288258613838856,,,,40.094394643887796,392.00972003041636,47.55219349760212,,,,,,,,,,,,,,,,380.194,660.9839999999999
2020-04-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
