Timestamp,mobile-37,mobile-44,mobile-38,mobile-19,mobile-5,mobile-40,mobile-36,mobile-15,mobile-20,mobile-4,mobile-2,mobile-33,mobile-23,mobile-11,mobile-24,mobile-7,mobile-27,mobile-6,mobile-47,mobile-17,mobile-1,mobile-46,mobile-9,mobile-39,mobile-42,mobile-13,mobile-31,mobile-10,mobile-16,mobile-12,mobile-8
2020-04-07 16:00:00,41.086999999999996,,,25.0,24.0,20.0,,,,20.0,,,,,49.0,50.0,46.108,,,,,38.0,,47.0,50.0,,,,51.0,,45.0
2020-04-07 18:00:00,,,,,,,,,,,,,,,,56.0,,,,,,,,11.0,51.0,,,,50.0,,
2020-04-07 20:00:00,,,22.0,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,50.0,,
2020-04-07 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,409.4518407520509,52.0,,,,52.0,,
2020-04-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,50.0,,
2020-04-08 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,767.0766895252208,50.0,,,,51.0,,
2020-04-08 04:00:00,,,,,,,,,,,,,,,,,,,,,,,,10.0,798.2323498594916,,,,52.0,,
2020-04-08 06:00:00,,43.01435,22.0,,,20.0,,19.0,,20.0,,,,,,42.0,65.51599999999999,,,,,39.0,50.0,748.6352897639855,51.0,,,,53.0,,
2020-04-08 08:00:00,43.67,,,,,,,,,139.45119889032557,,,23.0,,,,,,,,,37.53755328137702,,,,,,,,,
2020-04-08 10:00:00,,,,,,,,,,817.8016764967708,,,,,,,,,,,,882.2843991255991,,,,,,,,,
2020-04-08 12:00:00,,,,,,,,,,87.99359919890556,,,,,,,,,,,,713.4399163420856,,,,,43.13350449527468,,,,
2020-04-08 14:00:00,,,,,,,,,,1437.4305932289535,,,,,,,,15.0,,,,40.249916706385456,,,,,,,,,
2020-04-08 16:00:00,36.372,,,21.091062738678065,,20.7562506033842,,,,579.0349458327897,,,,,825.9309521606624,43.909794071668266,45.02774665189699,,,,,41.380419445827314,,49.91803080295333,805.8332523360393,50.18318115258703,,,823.3523778360791,,37.0
2020-04-08 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,726.0623598312226,61.19036966827542,927.5423158981364,,,52.55374158238535,,
2020-04-08 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,14.939833579799846,55.14301883369395,,,,51.65946923599642,,
2020-04-08 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,1073.2086174610197,56.84035519769719,,,,938.7661245833274,,
2020-04-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,856.3221639851663,54.973207154242594,,,,1401.8734690543113,,
2020-04-09 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,984.2041115584308,1041.307279232413,,,,58.504196292743536,,
2020-04-09 04:00:00,,,,,,,,,,,,,28.286039195638665,,,,,,,,,,,17.623472478293323,61.95951984032197,,,,57.371974791720206,,
2020-04-09 06:00:00,,,,,,,,,,,,,,,,183.1187323235691,,,,,,,,741.5550293532888,57.469997818656616,,,,54.3483854500897,,
2020-04-09 08:00:00,,,,,,,,,,,,,,,,,,,,,,,,613.688945251969,,,,,,,
2020-04-09 10:00:00,,,,,,,,,,,,35.60720977383731,,,,,,,,,29.135227135115574,,,25.39954500163003,,,,47.223501118131935,,,
2020-04-09 12:00:00,,,,,,,,,,,,29.17704532603344,,,,,57.33296152875128,,,,31.43973144951607,43.70626432981662,,54.98781792449853,,,48.4402911676439,,,,
2020-04-09 14:00:00,,,,,,,,,,,,,,,,,,,,,,855.3153436570766,,,,,,,,,
2020-04-09 16:00:00,,,,,,,,,,,,,,,54.35834758683378,49.68532178512244,,,,,,502.2399586916768,,428.97936911688026,62.376866943577284,,,,,,
2020-04-09 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,414.64172380586893,61.22328851451395,,,,,,
2020-04-09 20:00:00,,60.1085204553539,,,,,,,,,,,,,,,,,,,,,,437.3649544587665,97.9203648390134,,,,,,
2020-04-09 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,413.2704256274739,761.9921404757694,,,,614.2619753106169,,
2020-04-10 00:00:00,,,,,,,,,36.339019000095995,,,,,,,,,,,,,,,370.54778387516006,588.4614398001225,,,,519.7733466091034,,
2020-04-10 02:00:00,,,,,,,,,,,,,32.77394209744049,,,,,,,,,,,32.33688819792981,436.5052650900015,,,,630.1121267346873,,
2020-04-10 04:00:00,,,,,,,,,,,,,27.894048264975986,,,,,,,,,,,27.024987752665332,621.077409992435,,,,505.8566969452808,,
2020-04-10 06:00:00,,,,,,,,,48.605171654068464,,,,,,,49.85863905076252,,,,,,,,60.27977912222308,716.3291620271858,,,,63.652738274172,,
2020-04-10 08:00:00,,,,,,,,,,,,,,,,,,,,,,667.0269918422274,,,,,,,,,
2020-04-10 10:00:00,,,,,,,,,,,,,,,,,,,,,,720.0962377905902,,,,,61.899601442669436,,,,
2020-04-10 12:00:00,,,,,,,,,,,,,,24.944741523461687,,,,,,,,635.1707289635897,,,,,52.999803333388854,49.58730521149615,,,
2020-04-10 14:00:00,,,,,,,,,,,,,,,,,,,,,,733.5436227197807,,,,,,,,,
2020-04-10 16:00:00,,,,,,,,,,,,,,,,51.170700038027725,,,,,,50.35868891780793,,65.036327538292,457.2298881820256,,,,62.440260702002,,
2020-04-10 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,718.8388830370986,,,,66.16995552392791,,
2020-04-10 20:00:00,,,,,,,,,,,45.370230540393116,,,,,,,,,,,,,667.8862805783858,640.4559497211684,,,,68.52446962941761,,
2020-04-10 22:00:00,,,,33.00362933501146,,43.98965927872427,34.06275843634923,,,12.769000718132467,,,,,,,,,,,,,60.83956349667609,318.8032990471938,70.13073958781732,,,,67.62618252762866,,
2020-04-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
