Timestamp,mobile-49,mobile-36,mobile-9,mobile-17,mobile-19,mobile-46,mobile-47,mobile-6,mobile-40,mobile-15,mobile-44,mobile-39,mobile-20,mobile-37,mobile-21,mobile-43,mobile-33,mobile-23,mobile-10,mobile-34,mobile-8,mobile-24,mobile-1,mobile-27,mobile-7,mobile-5,mobile-13,mobile-4,mobile-31,mobile-32,mobile-22,mobile-14,mobile-42,mobile-12
2020-04-08 06:00:00,,,,481.9719584947102,,,10.0,,,,,,46.0,46.0,55.842,56.0,,,,,,,36.0,,1155.690043387354,49.0,,,,38.0,45.0,47.0,,48.0
2020-04-08 08:00:00,45.542,,,,,20.11096856067002,,,,,,24.0,50.00249593952574,,,,,,,,,,,,,47.0,,,,,,49.87630731017935,,
2020-04-08 10:00:00,36.372,,,,,457.39499527738434,,,,,,,706.5416281206948,,,,,,,,,,,,,,,,,,,48.62422408559539,,
2020-04-08 12:00:00,36.372,,,,,76.88239297507276,18.85523075544392,,,,,,190.17390444986324,,,,,,,,,,,,,,44.62012062301097,44.36973815947821,,,,49.290712494151656,,
2020-04-08 14:00:00,36.372,,,,,21.498877844694444,,,,,,,56.01320377728135,,,,,,,,,,,,,,,715.609784158838,,,,,,
2020-04-08 16:00:00,36.372,,,,40.158027315217275,21.50514290500755,11.787189885461874,,,,,20.788417212738022,49.1466439743819,,,191.39100424634674,,15.0,,,,,38.100753935301306,,49.07461285312449,50.507249421869055,50.67473758682607,50.10355940723238,,39.830363172069546,566.3641566907418,,,
2020-04-08 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,716.5191000515144,,,,,,,,,
2020-04-08 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,56.09539446876368,,,,,,,,,
2020-04-08 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,700.5166423289403,,,,,,,,,
2020-04-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,53.126647067804775,,,,,,,,,
2020-04-09 02:00:00,,,,,,,,,,,,,,,,,,,,,,,,,57.29490053905529,,,,,,,,,
2020-04-09 04:00:00,,,,,,,,,,,,27.678117517194053,,,,,,,,,,,,,55.10795967927135,,,,,,,,,
2020-04-09 06:00:00,,,,,,,,,,,,24.942800196111055,54.50816789854728,103.28277200239124,,,,,,,,,,,53.29258380945193,,113.90313585120127,,,501.8488702646298,,,,
2020-04-09 08:00:00,,,,,,,,,,,27.53826910632925,,55.42736963382965,,,,,,,,,,,,,,,,,,,,,
2020-04-09 10:00:00,,,,,,,,,,1008.3664807664093,,,1460.3701767150324,,,,,,,,23.844931425883573,,,,,,,,390.14755839084313,,,,,
2020-04-09 12:00:00,,,,,,,,,,26.943747340163288,,,60.99693292657646,,,,,,,,415.42461435717615,,46.40965887493053,,,55.80743815301138,,57.229414227728945,,,,,,
2020-04-09 14:00:00,,,,,,,,,,25.218336556504845,,,325.1066069332049,,,,,,,,35.10753872301219,,,,,,,802.8969197438557,,,,,,
2020-04-09 16:00:00,,,,,,,,,,,,,52.33375240796259,,,,,,,,,,46.18308193890929,,,57.414745455771744,856.7753825872172,55.08435396440484,,51.88912526181163,,,,
2020-04-09 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,634.167949587336,,,,,,,,,
2020-04-09 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,62.19146181565827,,,,,,56.91584278990432,,,
2020-04-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,698.9005129627358,,,,,,,,,
2020-04-10 02:00:00,,,,,,,,,,,,34.73630207678982,,,,,,,,,,,,,686.0474194378155,,,,,,,,,
2020-04-10 04:00:00,,,,,,,,,,,,37.32043180944964,,,,,,,,,,,,,844.2433045565158,,,,,,,,,
2020-04-10 06:00:00,,,,,,,,17.87763655572248,,,,,,48.37265610389811,,,,,,,,,,,68.82577544416634,58.741617601377584,60.39438865646384,,,48.25982441886725,,,,
2020-04-10 08:00:00,,,,,,,,,,,,,,,,,,,,,,,44.48477822828936,,,,,,,,,,,
2020-04-10 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.46577119185593,53.92188406927657,,,,,
2020-04-10 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.8537571456787,,,,,,
2020-04-10 16:00:00,,,,,,,,,,,,,,,,,,,,,,,51.435798691935865,,,57.71438054926443,67.69605577944074,54.02646134020482,,55.60702351346639,56.03659247822899,,,
2020-04-10 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10 20:00:00,,,,,,,,,38.505714921375954,,,,,,,,,,,,,,,,60.554122351650925,,,,,,,161.03418287137805,,
2020-04-10 22:00:00,,,,,37.003147277032205,34.88366068428248,,,,,,,,,,,,,,,,,,,69.67435612880705,,,,,,,,,
2020-04-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
