Timestamp,mobile-43,mobile-42,mobile-17,mobile-19,mobile-25,mobile-46,mobile-47,mobile-6,mobile-39,mobile-44,mobile-4,mobile-20,mobile-41,mobile-33,mobile-35,mobile-23,mobile-34,mobile-24,mobile-10,mobile-31,mobile-27,mobile-40,mobile-37,mobile-15,mobile-36,mobile-22,mobile-45,mobile-9
2020-04-08 12:00:00,1118.0516799305396,,16.857755996775808,,,,49.71606473509647,,,15.0,31.572688723483413,,,23.67191057444293,,,32.0,,,47.983379121315174,,,48.07217328918949,,,910.696086350968,,
2020-04-08 14:00:00,26.28199336990657,,,,,,50.561525854609,,,15.0,33.46358760031229,,,1015.6770701232024,,,,,,,,,54.19960830178792,,,,,
2020-04-08 16:00:00,26.92801268235599,,,,25.157164415918928,,989.134306773574,60.34535518383046,,,33.18734397725278,,,792.5773544827155,35.566423258521844,,32.0,46.94186842566639,48.21917439373646,46.44541362454814,39.21970899579048,45.88837938814437,51.08943763785353,150.8554555191937,,,,
2020-04-08 18:00:00,988.7805916883907,,,,,,,,,,,,,923.6896785592764,,,,,,,,,,772.5135949779117,,,,
2020-04-08 20:00:00,607.6716503575085,,,,,,,,,,,,,26.044985085364235,,,,,,,,,,48.001584268804685,,,,
2020-04-08 22:00:00,912.0646863402893,,,,,,,,,,,,,1365.492259636247,,,,,,,,,,1110.9089743146233,,,,
2020-04-09 00:00:00,33.10582446302569,,,,,,,,,,,,,27.625401754141716,,,,,,,,,,563.2040070990555,,,,
2020-04-09 02:00:00,31.208583981876444,,,,,,,,,,,,,822.9001525996117,,,,,,,,,,940.8470661799249,,,,
2020-04-09 04:00:00,30.054063335477263,,,,,,,,,,,,,463.13476694490737,,,,,,,,,,766.4327510694324,,,,
2020-04-09 06:00:00,968.8196670408363,,,,,39.9331853453904,537.1542592146357,,,,,,,128.89215654050486,,,,,,51.45945776801631,,,,315.9303921265125,,,,
2020-04-09 08:00:00,619.6245009645916,,,,,,1001.5174733051346,,,,,,,31.75432711699869,,,,,,,,,,,,,,
2020-04-09 10:00:00,36.6942543823546,,,,,,987.8535752008456,,,,,,,620.4851821307493,,,,,,,,,39.98963156566723,,,,,
2020-04-09 12:00:00,943.1262887546973,,,,,,55.792666935877435,65.92410804709583,,,,,,,47.850091121641036,,,,,,,50.343654945396935,,,,,,
2020-04-09 14:00:00,1064.1780653561557,,,,,,63.306918931646955,,,,,,,31.820017822330453,,,,,,,,,,,,,,
2020-04-09 16:00:00,36.008296655910776,,,,,,50.284576587410896,,,,,,,500.79516010918775,40.80607541755467,,,,52.39790497553362,52.479669622418974,55.20619759113863,475.5030706328489,,768.4344582042334,59.379990345487386,,,
2020-04-09 18:00:00,696.5256816733927,,,,,,,,,,,,,305.8899495936698,,,,,,,,,,422.87132330659216,878.2117008524467,,,
2020-04-09 20:00:00,747.3682949228687,,,,,,,,,,,,,683.867596568534,,,,,,,,,,86.53396467909398,592.8444484448138,,,
2020-04-09 22:00:00,392.52167346230726,,,,,,,,,,,,,493.7380443645758,,,,,,,,,,499.8764901981128,56.50799847804525,,,
2020-04-10 00:00:00,634.19842285651,,,,,,,,,,,,,641.0804554030391,,,,,,,,,,708.8352170706693,,,,
2020-04-10 02:00:00,525.7923254780084,,,,,,,,,,,,,194.14212065939546,,,,,,,,,,223.4361862429181,,,,
2020-04-10 04:00:00,825.0237559263478,,,,,,,,,,,,,821.9729346395533,,,,,,,,,,594.2502971396212,,,,
2020-04-10 06:00:00,116.81154012061528,,,,,,36.98688806235953,,,,,,,146.56522832512198,48.7298304266679,,,,,113.21909148713492,,50.963964541973496,,143.26867564946969,,,,
2020-04-10 08:00:00,744.7030700070678,,,,,,747.9563358234343,,,,,,,38.19492368744859,53.49727250128274,,,,,,,51.99122715008436,,,59.82003760564057,,,
2020-04-10 10:00:00,754.9449296773946,,,,,,932.6848039244127,,,,,,,778.8838421598738,,,,,,,,,,,,,,
2020-04-10 12:00:00,34.58043436242889,,,,,,642.4168629811636,,,,,,,633.5754691423995,,,,,,,,,54.53807081301922,,,,,
2020-04-10 14:00:00,458.96971587524115,,,,,,760.4570808864879,,,,,,,423.5888941721681,,,,,,,,,,,,,,
2020-04-10 16:00:00,711.1636829787213,,,,,,528.4426033640123,,,,,,,602.384248821501,46.76205324447225,,,,54.20204737908637,49.77849537430133,47.23710405260788,56.47456100184304,,531.5524814950601,,,,
2020-04-10 18:00:00,560.9088014236713,,,,,,,,,,,,,39.40497307362962,,,,,,,,,,680.9378199887739,,,,
2020-04-10 20:00:00,280.401498088958,,,,,,,,,,,,,577.1562461885113,,,,,,,,,,63.5803312718506,,,,
2020-04-10 22:00:00,40.340418493760865,,,,,,,,,,,,,38.94025300224028,,,,,,,,,,766.5841582729753,,,,
2020-04-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
