Timestamp,mobile-8,mobile-9,mobile-6,mobile-11,mobile-5,mobile-47,mobile-12,mobile-46,mobile-10,mobile-7,mobile-21,mobile-44,mobile-49,mobile-1,mobile-23,mobile-40,mobile-36,mobile-14,mobile-31,mobile-13,static-12,static-9
2020-04-08 02:00:00,,28.0,26.0,24.0,106.1809719799445,20.0,21.0,634.294184957363,32.0,,,,,,,,,48.0,48.0,,19.894000000000002,843.2660000000001
2020-04-08 04:00:00,,25.0,26.0,948.3092385854184,20.0,19.0,18.0,20.0,32.0,,,,,,,,,51.0,855.8864222065387,,907.1160000000001,19.984
2020-04-08 06:00:00,,30.0,30.0,26.0,21.0,20.0,22.0,86.0,33.0,,,66.0,,,,,50.0,50.0,53.0,909.4420450920044,19.951,19.984
2020-04-08 08:00:00,41.784,26.0,,,18.0,,20.0,,,,,86.0,,,,,,,48.0,,19.941,19.961
2020-04-08 10:00:00,,414.5249376183052,,,,,688.761781795514,,,,,60.78209055610097,,,,,47.84682888363631,,37.0,,20.475,20.465
2020-04-08 12:00:00,,31.44091943079929,,,,,21.774920929054247,,,,,59.48617871541541,,,,45.725920501328794,50.39901411332987,50.8638619604883,,,20.809,20.895
2020-04-08 14:00:00,,,,,,,22.290668535707077,,,,,63.92567096843033,,,,44.239550161206246,,49.80168842642278,,,20.714000000000002,20.73
2020-04-08 16:00:00,,953.4220661497052,,74.13714767846173,859.9052744343121,20.771341981206024,1380.0201459368054,21.41324806599501,972.8333832383736,,,62.24048171693137,15.0,,46.90382600726692,,,53.61972311209486,37.0,,637.4209999999999,743.573
2020-04-08 18:00:00,,31.390171292564567,,1142.139352042598,25.95467858401335,651.6395711887625,2320.767020833393,20.84653679455849,35.024344244862824,,,,,,,,,50.180807973598,37.0,,21.373,719.2510000000001
2020-04-08 20:00:00,,715.55367532963,,657.418059249344,120.75804430462972,21.835979702028666,1380.3505393281948,603.8167573318345,36.21710704464088,,,,,,,,,710.4640182906676,37.0,,21.849,114.375
2020-04-08 22:00:00,,28.719011246485138,,27.410855243965518,801.9471998450572,59.13193359891851,803.2870755049468,32.30937950238793,835.6138895119478,,,,,,,,,613.7090265771143,37.0,,21.553,35.239000000000004
2020-04-09 00:00:00,,532.4289978089862,,24.57760921839664,22.383692649491067,22.760275213274962,16.908433904257336,79.06505229088657,441.7619996663532,,,,,,,,,51.71347406091839,37.0,,22.346,803.206
2020-04-09 02:00:00,,29.26943640650792,,25.64397185408157,24.07188310359313,22.860989718177585,,23.769245791663565,57345.200301353434,,,,,,,,,51.19705746786283,37.0,,23.531999999999996,22.458000000000002
2020-04-09 04:00:00,,35.17284295243183,,27.448243514978582,676.6607807803391,24.50560507073029,,24.466622063353324,30.575225869033947,,,,,,,,,54.81528631142138,37.0,,957.927,826.178
2020-04-09 06:00:00,,1268.3998240570274,,113.8520600663174,30.047745441135287,24.52713981502503,21.21404429417032,31.372108299811906,116.5854342488833,,,,,,58.24934729633316,,,526.8661676395209,37.0,,24.475,573.0419999999999
2020-04-09 08:00:00,,,,,,,,27.84226199839568,,,31.534417535399538,,,,,,,79.22926591298855,37.0,,23.456999999999997,101.824
2020-04-09 10:00:00,,,,,,,,,,,,,,,,,,,37.0,,26.48,1039.211
2020-04-09 12:00:00,,,,,,,,,,352.50680505298243,,,,27.60204702818832,,,,,37.0,,25.873,556.197
2020-04-09 14:00:00,,,,,,,,,,,,,,33.46658548308397,,,,,37.0,,1165.9,804.0210000000001
2020-04-09 16:00:00,,,,,,,,,,,,,,,,,,,37.0,,34.876,608.967
2020-04-09 18:00:00,,,,47.77386908793645,,,,,,,,,,,,,,,37.0,,376.259,847.39
2020-04-09 20:00:00,,,,51.55444462323838,368.7498236847696,,41.984362919761246,40.943508611913465,121.34956321875151,,,,,,400.75825936058607,,,72.8402424536318,37.0,,500.457,288.524
2020-04-09 22:00:00,,,,662.2902373421445,506.8708958006597,,490.4110260397258,44.53172460864411,551.990299367137,,,,,,,,,431.3244448332656,37.0,,763.9639999999999,34.668
2020-04-10 00:00:00,,,,530.994555319463,553.0897359015071,,29.089130252066827,338.69519292772077,561.4052108890722,,,,,,,,,475.2021557376309,37.0,,492.87,526.3969999999999
2020-04-10 02:00:00,,,,514.4674440103191,459.9139164920255,,,46.6348898519899,967.283827937316,,,,,,,,,650.5536295344489,37.0,,367.635,35.9
2020-04-10 04:00:00,,,,374.1173870807788,45.628033935253896,,,41.04400723728818,642.2817761002234,,,,,,,,,845.9233051557702,37.0,,476.034,431.722
2020-04-10 06:00:00,,,,45.731180321004494,346.7211176213366,,173.96851429839282,383.19375036644965,705.8376381173773,,,,,,84.18172503702804,,,768.996605967332,37.0,,36.755,306.57
2020-04-10 08:00:00,,,,,,,42.26567962025882,104.69622994615808,,,,,,,69.43638939263515,,,617.3180297673956,37.0,,618.882,706.7180000000001
2020-04-10 10:00:00,,,,,,,,,,,,,,,,,,,37.0,,516.544,36.473
2020-04-10 12:00:00,,,,,,,,,,,,,,,,,,,37.0,,735.202,393.783
2020-04-10 14:00:00,,,,,,,,,,,,,,,,,,,37.0,,768.972,971.447
2020-04-10 16:00:00,,,,,,,,,,,,,,,,,,,37.0,,700.705,35.18
2020-04-10 18:00:00,,,,,,,,,453.7497727940589,,,,,,,,,584.0542272523862,37.0,,606.437,550.455
2020-04-10 20:00:00,,389.1699758276277,,821.7063206788682,626.205132453865,63.43422369131577,48.01334626385842,458.10674194862975,311.7257109786768,,34.3340636814451,,,,73.65226254488854,,,76.68279279859466,37.0,,221.898,655.883
2020-04-10 22:00:00,,54.58973131549836,,50.54835815066284,45.385488634802115,729.7308924394141,49.90665927544549,43.25498951663267,50.90728419116228,,,,,,,,,,37.0,,680.6060000000001,641.94
2020-04-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,
